feature_id	feature_name_orginal	time_freq	first_part	measure	sensor	Direction	accelration	Signal	feature_name
295	fBodyAcc-meanFreq()-Y	f	frequency	mean	accelerometer	Y	body		frequency.body.accelerometer.mean.Y
296	fBodyAcc-meanFreq()-Z	f	frequency	mean	accelerometer	Z	body		frequency.body.accelerometer.mean.Z
345	fBodyAccJerk-mean()-X	f	frequency	mean	accelerometer	X	body	jerk	frequency.body.accelerometer.mean.X
346	fBodyAccJerk-mean()-Y	f	frequency	mean	accelerometer	Y	body	jerk	frequency.body.accelerometer.mean.Y
347	fBodyAccJerk-mean()-Z	f	frequency	mean	accelerometer	Z	body	jerk	frequency.body.accelerometer.mean.Z
348	fBodyAccJerk-std()-X	f	frequency	stdev	accelerometer	X	body	jerk	frequency.body.accelerometer.stdev.X
349	fBodyAccJerk-std()-Y	f	frequency	stdev	accelerometer	Y	body	jerk	frequency.body.accelerometer.stdev.Y
350	fBodyAccJerk-std()-Z	f	frequency	stdev	accelerometer	Z	body	jerk	frequency.body.accelerometer.stdev.Z
373	fBodyAccJerk-meanFreq()-X	f	frequency	mean	accelerometer	X	body	jerk	frequency.body.accelerometer.mean.X
374	fBodyAccJerk-meanFreq()-Y	f	frequency	mean	accelerometer	Y	body	jerk	frequency.body.accelerometer.mean.Y
375	fBodyAccJerk-meanFreq()-Z	f	frequency	mean	accelerometer	Z	body	jerk	frequency.body.accelerometer.mean.Z
424	fBodyGyro-mean()-X	f	frequency	mean	gyroscope	X	body		frequency.body.gyroscope.mean.X
425	fBodyGyro-mean()-Y	f	frequency	mean	gyroscope	Y	body		frequency.body.gyroscope.mean.Y
426	fBodyGyro-mean()-Z	f	frequency	mean	gyroscope	Z	body		frequency.body.gyroscope.mean.Z
427	fBodyGyro-std()-X	f	frequency	stdev	gyroscope	X	body		frequency.body.gyroscope.stdev.X
428	fBodyGyro-std()-Y	f	frequency	stdev	gyroscope	Y	body		frequency.body.gyroscope.stdev.Y
429	fBodyGyro-std()-Z	f	frequency	stdev	gyroscope	Z	body		frequency.body.gyroscope.stdev.Z
452	fBodyGyro-meanFreq()-X	f	frequency	mean	gyroscope	X	body		frequency.body.gyroscope.mean.X
453	fBodyGyro-meanFreq()-Y	f	frequency	mean	gyroscope	Y	body		frequency.body.gyroscope.mean.Y
454	fBodyGyro-meanFreq()-Z	f	frequency	mean	gyroscope	Z	body		frequency.body.gyroscope.mean.Z
503	fBodyAccMag-mean()	f	frequency	mean	accelerometer		body	magnitude	frequency.body.accelerometer.mean
504	fBodyAccMag-std()	f	frequency	stdev	accelerometer		body	magnitude	frequency.body.accelerometer.stdev
513	fBodyAccMag-meanFreq()	f	frequency	mean	accelerometer		body	magnitude	frequency.body.accelerometer.mean
516	FBodyBodyAccJerkMag-mean()	f	frequency	mean	accelerometer		body	jerkmag	frequency.body.accelerometer.mean
517	fBodyBodyAccJerkMag-std()	f	frequency	stdev	accelerometer		body	jerkmag	frequency.body.accelerometer.stdev
526	fBodyBodyAccJerkMag-meanFreq()	f	frequency	mean	accelerometer		body	jerkmag	frequency.body.accelerometer.mean
529	fBodyBodyGyroMag-mean()	f	frequency	mean	gyroscope		body	magnitude	frequency.body.gyroscope.mean
530	fBodyBodyGyroMag-std()	f	frequency	stdev	gyroscope		body	magnitude	frequency.body.gyroscope.stdev
539	fBodyBodyGyroMag-meanFreq()	f	frequency	mean	gyroscope		body	magnitude	frequency.body.gyroscope.mean
542	fBodyBodyGyroJerkMag-mean()	f	frequency	mean	gyroscope		body	jerkmag	frequency.body.gyroscope.mean
543	fBodyBodyGyroJerkMag-std()	f	frequency	stdev	gyroscope		body	jerkmag	frequency.body.gyroscope.stdev
552	fBodyBodyGyroJerkMag-meanFreq()	f	frequency	mean	gyroscope		body	jerkmag	frequency.body.gyroscope.mean

